rule overall,precision overall,recall overall,rule 100,precision 100,recall 100,rule 1000,precision 1000,recall 1000,rule 10000,precision 10000,recall 10000
"products_number<=1 & age>40 & credit_card==""Yes"" & estimated_salary>68985.99",1.0,0.47,"products_number<=1 & age>40 & credit_card==""Yes"" & estimated_salary>68985.99",1.0,0.47,"gender==""Female"" & age>47 & active_member==""No"" & estimated_salary>97906.38",1.0,0.12,"active_member==""No"" & age>53",0.97,0.11
"estimated_salary>68985.99 & country!=""Spain"" & age>47",1.0,0.35,"estimated_salary>68985.99 & country!=""Spain"" & age>47",1.0,0.35,"gender==""Female"" & age>47 & active_member==""No""",0.97,0.18,"gender==""Female"" & age>41 & country==""Germany""",0.8,0.14
"products_number<=1 & age>40 & active_member==""No"" & customer_id>15692991",1.0,0.35,"products_number<=1 & age>40 & active_member==""No"" & customer_id>15692991",1.0,0.35,"age>47 & customer_id>15708714 & active_member==""No""",0.96,0.13,"age>41 & estimated_salary>129525.5 & country==""Germany""",0.75,0.12
customer_id>15692991 & age>47,1.0,0.29,customer_id>15692991 & age>47,1.0,0.29,"estimated_salary>130805.54 & age>47 & active_member==""No""",0.94,0.15,"gender==""Female"" & age>41 & active_member==""No""",0.75,0.3
"products_number<=1 & country!=""Spain"" & age>47",1.0,0.29,"products_number<=1 & country!=""Spain"" & age>47",1.0,0.29,"age>47 & active_member==""No"" & estimated_salary>97906.38",0.93,0.2,"age>41 & country==""Germany""",0.71,0.25
"country!=""Spain"" & age>47 & active_member==""No""",1.0,0.29,"country!=""Spain"" & age>47 & active_member==""No""",1.0,0.29,"country!=""France"" & age>47 & active_member==""No""",0.92,0.17,"credit_score<=606 & age>41 & active_member==""No""",0.71,0.15
"credit_card==""Yes"" & country!=""Spain"" & age>47",1.0,0.29,"credit_card==""Yes"" & country!=""Spain"" & age>47",1.0,0.29,"age>47 & active_member==""No"" & balance>104488.17",0.9,0.14,"active_member==""No"" & age>41 & estimated_salary>129525.5",0.7,0.23
"products_number<=1 & credit_card==""Yes"" & age>47",1.0,0.29,"products_number<=1 & credit_card==""Yes"" & age>47",1.0,0.29,"age>47 & active_member==""No""",0.9,0.3,"active_member==""No"" & age>41 & customer_id<=15667633",0.69,0.22
"gender==""Female"" & age>40 & credit_card==""Yes"" & active_member==""No""",1.0,0.29,"gender==""Female"" & age>40 & credit_card==""Yes"" & active_member==""No""",1.0,0.29,"gender==""Female"" & age>47 & balance>104488.17",0.88,0.11,"tenure<=5 & age>41 & active_member==""No""",0.68,0.3
"gender==""Female"" & estimated_salary<=123825.83 & age>40 & credit_score>645",1.0,0.29,"gender==""Female"" & estimated_salary<=123825.83 & age>40 & credit_score>645",1.0,0.29,"country!=""France"" & customer_id>15708714 & age>47",0.88,0.1,"age>41 & active_member==""No""",0.67,0.51
tenure<=6 & estimated_salary<=95611.74 & products_number<=1 & estimated_salary>68985.99 & balance<=126550.7,1.0,0.29,tenure<=6 & estimated_salary<=95611.74 & products_number<=1 & estimated_salary>68985.99 & balance<=126550.7,1.0,0.29,"age>47 & country==""Germany""",0.87,0.17,"gender==""Female"" & age>41 & estimated_salary>129525.5",0.65,0.19
"gender==""Female"" & age>47 & active_member==""No"" & estimated_salary>97906.38",1.0,0.12,age>56,1.0,0.12,"gender==""Female"" & age>47 & estimated_salary>97906.38",0.85,0.17,"gender==""Female"" & credit_score<=606 & age>41",0.64,0.12
age>56,1.0,0.12,"estimated_salary>68985.99 & age>40 & credit_card==""Yes"" & active_member==""No""",0.88,0.41,balance>117052.82 & age>47,0.85,0.11,"gender==""Female"" & active_member==""No"" & country==""Germany""",0.64,0.15
"active_member==""No"" & age>53",0.97,0.11,"country!=""Spain"" & age>47",0.86,0.35,age>47 & customer_id>15708714 & estimated_salary>97906.38,0.82,0.11,"gender==""Female"" & tenure<=5 & age>41",0.62,0.24
"gender==""Female"" & age>47 & active_member==""No""",0.97,0.18,products_number<=1 & age>47,0.86,0.35,customer_id>15708714 & age>47 & estimated_salary>97906.38,0.82,0.11,"gender==""Female"" & age>41",0.61,0.41
"age>47 & customer_id>15708714 & active_member==""No""",0.96,0.13,"credit_card==""Yes"" & age>47",0.86,0.35,age>47 & balance>104488.17,0.81,0.19,balance>101438.0 & age>41,0.6,0.29
"estimated_salary>130805.54 & age>47 & active_member==""No""",0.94,0.15,"gender==""Female"" & age>40 & credit_score>645",0.86,0.35,"country!=""France"" & age>47",0.81,0.25,"country!=""France"" & age>41",0.59,0.38
"age>47 & active_member==""No"" & estimated_salary>97906.38",0.93,0.2,"age>47 & active_member==""No""",0.83,0.29,estimated_salary>130805.54 & age>47,0.8,0.2,age>53,0.57,0.15
"country!=""France"" & age>47 & active_member==""No""",0.92,0.17,"gender==""Female"" & estimated_salary<=123825.83 & age>40",0.83,0.29,"gender==""Female"" & age>47",0.8,0.26,"active_member==""No"" & estimated_salary>129525.5 & country==""Germany""",0.57,0.13
"age>47 & active_member==""No"" & balance>104488.17",0.9,0.14,estimated_salary>68985.99 & age>47 & credit_score>645,0.83,0.29,age>47 & estimated_salary>97906.38,0.78,0.27,credit_score<=606 & age>41,0.55,0.2
